fecha_extraccion,sistema_origen,archivo_origen,nro_linea_archivo,legajo,nombre,apellido,departamento_codigo,departamento_descripcion,tipo_empleado,salario,precio_hora,precio_hora_extra,consultora_cuit,consultora_razon_social,evaluacion_2024,evaluacion_2023,evaluacion_2022,evaluacion_2021,evaluacion_2020,rotacion
2026-06-29,sistema_rrhh_legacy,rrhh.csv,1,1,Luca,Gonzalez,D001,Finanzas,Efectivo,134901.42,,,,,Bueno,Bueno,Regular,Bueno,Regular,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,2,2,Victoria,Diaz,D004,Ventas,Efectivo,115852.07,,,,,Excelente,Bueno,Bueno,Bueno,Regular,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,3,3,Abril,Peralta,D004,Ventas,Efectivo,139430.66,,,,,Bueno,Regular,Excelente,Regular,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,4,4,Uma,Rodriguez,D002,Recursos Humanos,Efectivo,165690.9,,,,,Regular,Excelente,Bueno,Bueno,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,5,5,Ciro,Gonzalez,D001,Finanzas,Contratado,,2812.68,4265.86,30-12345678-9,Consultora Alfa,Malo,Bueno,Bueno,Regular,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,6,6,Delfina,Gimenez,D005,Operaciones,Efectivo,167376.38,,,,,Excelente,Bueno,Regular,Malo,Regular,1
2026-06-29,sistema_rrhh_legacy,rrhh.csv,7,7,Martina,Diaz,D004,Ventas,Efectivo,143023.04,,,,,Bueno,Bueno,Bueno,Bueno,Bueno,1
2026-06-29,sistema_rrhh_legacy,rrhh.csv,8,8,Lara,Molina,D001,Finanzas,Contratado,,2624.42,5042.56,30-87654321-0,Consultora Beta,Bueno,Bueno,Bueno,Bueno,Malo,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,9,9,Delfina,Nuñez,D002,Recursos Humanos,Contratado,,2629.27,4034.27,30-12345678-9,Consultora Alfa,Bueno,Excelente,Bueno,Bueno,Bueno,1
2026-06-29,sistema_rrhh_legacy,rrhh.csv,10,10,Alma Valentina,Gonzalez,D003,IT,Efectivo,127258.87,,,,,Bueno,Regular,Bueno,Excelente,Excelente,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,11,11,Luciana,Quiroga,D005,Operaciones,Efectivo,62601.59,,,,,Bueno,Regular,Bueno,Bueno,Malo,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,12,12,Alma,Fernandez,D001,Finanzas,Contratado,,1620.07,3937.71,30-12345678-9,Consultora Alfa,Excelente,Excelente,Bueno,Bueno,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,13,13,Maximiliano,Romero,D004,Ventas,Efectivo,89615.07,,,,,Malo,Regular,Excelente,Regular,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,14,14,Catalina,Gomez,D003,IT,Contratado,,3251.4,3591.98,30-11223344-5,Consultora Gamma,Excelente,Bueno,Bueno,Malo,Regular,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,15,15,Thiago Leonel,Juarez,D005,Operaciones,Contratado,,1870.16,5965.65,30-12345678-9,Consultora Alfa,Regular,Bueno,Bueno,Bueno,Excelente,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,16,16,Micaela,Ojeda,D005,Operaciones,Contratado,,2819.38,4567.53,30-12345678-9,Consultora Alfa,Bueno,Bueno,Excelente,Bueno,Malo,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,17,17,Mateo Benjamin,Valdez,D002,Recursos Humanos,Efectivo,77257.55,,,,,Regular,Malo,Excelente,Bueno,Excelente,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,18,18,Olivia,Molina,D002,Recursos Humanos,Efectivo,103668.52,,,,,Bueno,Bueno,Bueno,Regular,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,19,19,Milena,Rios,D005,Operaciones,Contratado,,3088.74,3349.01,30-87654321-0,Consultora Beta,Regular,Bueno,Bueno,Bueno,Regular,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,20,20,Morena Jazmin,Silva,D002,Recursos Humanos,Efectivo,131270.94,,,,,Bueno,Bueno,Bueno,Bueno,Excelente,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,21,21,Federico,Gonzalez,D002,Recursos Humanos,Efectivo,101980.84,,,,,Excelente,Bueno,Bueno,Bueno,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,22,22,Francisco,Garcia,D005,Operaciones,Efectivo,111249.19,,,,,Bueno,Bueno,Bueno,Excelente,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,23,23,Bautista,Martinez,D004,Ventas,Efectivo,101948.8,,,,,Regular,Bueno,Malo,Excelente,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,24,24,Santino,Garcia,D001,Finanzas,Efectivo,175568.35,,,,,Excelente,Bueno,Bueno,Bueno,Bueno,1
2026-06-29,sistema_rrhh_legacy,rrhh.csv,25,25,Juan Manuel,Torres,D004,Ventas,Contratado,,,3442.29,30-12345678-9,Consultora Alfa,Excelente,Malo,Regular,Malo,Malo,1
2026-06-29,sistema_rrhh_legacy,rrhh.csv,26,26,Thiago,Diaz,D002,Recursos Humanos,Efectivo,144676.35,,,,,Bueno,Regular,Malo,Excelente,Excelente,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,27,27,Thiago Benjamin,Maidana,D004,Ventas,Efectivo,83374.69,,,,,Bueno,Regular,Regular,Bueno,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,28,28,Lara,Cabrera,D002,Recursos Humanos,Contratado,,3167.09,2540.33,30-12345678-9,Consultora Alfa,Regular,Excelente,Bueno,Bueno,Regular,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,29,29,Joaquin,Ojeda,D005,Operaciones,Efectivo,80154.42,,,,,Excelente,Bueno,Bueno,Bueno,Excelente,1
2026-06-29,sistema_rrhh_legacy,rrhh.csv,30,30,Mateo,Alvarez,D002,Recursos Humanos,Efectivo,125905.84,,,,,Excelente,Excelente,Bueno,Bueno,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,31,31,Juan Sebastian,Godoy,D003,IT,Efectivo,142154.0,,,,,Bueno,Bueno,Bueno,Bueno,Regular,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,32,32,Lautaro Benjamin,Castillo,D004,Ventas,Contratado,,3137.09,4384.35,30-12345678-9,Consultora Alfa,Excelente,Bueno,Bueno,Malo,Regular,1
2026-06-29,sistema_rrhh_legacy,rrhh.csv,33,33,Valentina Jazmin,Ramos,D003,IT,Efectivo,110966.89,,,,,Bueno,Bueno,Bueno,Malo,Regular,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,34,34,Francisco,Gonzalez,D005,Operaciones,Efectivo,75644.34,,,,,Bueno,Malo,Excelente,Excelente,Excelente,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,35,35,Josefina,Perez,D003,IT,Efectivo,98404.67,,,,,Bueno,Bueno,Bueno,Regular,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,36,36,Delfina,Leiva,D001,Finanzas,Efectivo,106180.84,,,,,Bueno,Bueno,Excelente,Regular,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,37,37,Thiago Lionel,Sanchez,D004,Ventas,Efectivo,151713.67,,,,,Bueno,Excelente,Excelente,Regular,Malo,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,38,38,Ambar,Ruiz,D003,IT,Efectivo,130308.55,,,,,Excelente,Excelente,Bueno,Regular,Regular,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,39,39,Uma ,Medina,D003,IT,Efectivo,67108.8,,,,,Bueno,Excelente,Regular,Regular,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,40,40,Thiago Benjamin,Martinez,D002,Recursos Humanos,Contratado,,3259.27,4114.92,30-87654321-0,Consultora Beta,Regular,Malo,Regular,Regular,Excelente,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,41,41,Lucas,Perez,D003,IT,Contratado,,2458.46,5111.68,30-99887766-1,Consultora Delta,Regular,Regular,Regular,Bueno,Regular,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,42,42,Maria Victoria,Mendoza,D001,Finanzas,Contratado,,3824.8,5431.28,30-87654321-0,Consultora Beta,Excelente,Malo,Bueno,Regular,Regular,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,43,43,Camila,Diaz,D002,Recursos Humanos,Efectivo,94823.47,,,,,Bueno,Excelente,Regular,Bueno,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,44,44,Mateo Joaquin,Gimenez,D005,Operaciones,Efectivo,110723.63,,,,,Excelente,Regular,Bueno,Bueno,Malo,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,45,45,Catalina,Gonzalez,D005,Operaciones,Efectivo,129937.9,,,,,Regular,Bueno,Bueno,Bueno,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,46,46,Santino,Morales,D003,IT,Efectivo,149266.35,,,,,Bueno,Bueno,Regular,Bueno,Malo,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,47,47,Sol,Flores,D002,Recursos Humanos,Efectivo,105624.77,,,,,Excelente,Bueno,Bueno,Bueno,Regular,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,48,48,Bautista,Alvarez,D003,IT,Efectivo,114430.23,,,,,Bueno,Bueno,Bueno,Bueno,Excelente,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,49,49,Máximo,Pereyra,D004,Ventas,Contratado,,2114.93,3303.79,30-87654321-0,Consultora Beta,Bueno,Bueno,Bueno,Excelente,Bueno,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,50,50,Emanuel,Guzman,D005,Operaciones,Contratado,,3650.02,5856.24,30-11223344-5,Consultora Gamma,Bueno,Bueno,Bueno,Bueno,Malo,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,51,51,Benjamin,Muñoz,D002,Recursos Humanos,Contratado,,2942.39,5503.53,30-11223344-5,Consultora Gamma,Bueno,Bueno,Bueno,Regular,Regular,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,52,52,Thiago Ezequiel,Rojas,D002,Recursos Humanos,Contratado,,3289.31,3854.88,30-87654321-0,Consultora Beta,Excelente,Bueno,Bueno,Regular,Excelente,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,53,53,Thiago Benjamin,Godoy,D005,Operaciones,Efectivo,130841.87,,,,,Bueno,Bueno,Bueno,Bueno,Excelente,0
2026-06-29,sistema_rrhh_legacy,rrhh.csv,54,54,Santino,Benitez,D001,Finanzas,Contratado,,4230.43,4464.17,30-87654321-0,Consultora Beta,Excelente,Malo,Bueno,Excelente,Bueno,0
